"date","home_team","away_team","home_score","away_score","tournament"
2,"Panama","Serbia",0,0,"Friendly"
2,"Jordan","Tajikistan",2,0,"Friendly"
2,"Jordan","Tajikistan",0,1,"Friendly"
2,"Jordan","Uzbekistan",0,2,"Friendly"
2,"Guatemala","Nicaragua",1,0,"Friendly"
2,"Kenya","South Sudan",1,0,"Friendly"
2,"Kenya","Tanzania",2,1,"Friendly"
2,"Ethiopia","Malawi",4,0,"Friendly"
2,"Oman","Jordan",0,0,"Friendly"
2,"Belarus","Honduras",1,1,"Friendly"
2,"Jordan","Lebanon",1,0,"Friendly"
2,"Kosovo","Lithuania",4,0,"Friendly"
2,"Qatar","Luxembourg",1,0,"Friendly"
2,"Suriname","Cayman Islands",3,0,"FIFA World Cup qualification"
2,"Dominican Republic","Dominica",1,0,"FIFA World Cup qualification"
2,"Portugal","Azerbaijan",1,0,"FIFA World Cup qualification"
2,"Serbia","Republic of Ireland",3,2,"FIFA World Cup qualification"
2,"France","Ukraine",1,1,"FIFA World Cup qualification"
2,"Finland","Bosnia and Herzegovina",2,2,"FIFA World Cup qualification"
2,"Belgium","Wales",3,1,"FIFA World Cup qualification"
2,"Estonia","Czech Republic",2,6,"FIFA World Cup qualification"
2,"Turkey","Netherlands",4,2,"FIFA World Cup qualification"
2,"Slovenia","Croatia",1,0,"FIFA World Cup qualification"
2,"Cyprus","Slovakia",0,0,"FIFA World Cup qualification"
2,"Chad","Namibia",0,3,"African Cup of Nations qualification"
2,"Guinea","Mali",1,0,"African Cup of Nations qualification"
2,"South Sudan","Malawi",0,1,"African Cup of Nations qualification"
2,"Uganda","Burkina Faso",0,0,"African Cup of Nations qualification"
2,"Rwanda","Mozambique",1,0,"African Cup of Nations qualification"
2,"Ethiopia","Madagascar",4,0,"African Cup of Nations qualification"
2,"Bahrain","Syria",3,1,"Friendly"
2,"India","Oman",1,1,"Friendly"
2,"Saudi Arabia","Kuwait",1,0,"Friendly"
2,"Canada","Bermuda",5,1,"FIFA World Cup qualification"
2,"Panama","Barbados",1,0,"FIFA World Cup qualification"
2,"Trinidad and Tobago","Guyana",3,0,"FIFA World Cup qualification"
2,"Spain","Greece",1,1,"FIFA World Cup qualification"
2,"Sweden","Georgia",1,0,"FIFA World Cup qualification"
2,"Bulgaria","Switzerland",1,3,"FIFA World Cup qualification"
2,"Italy","Northern Ireland",2,0,"FIFA World Cup qualification"
2,"Israel","Denmark",0,2,"FIFA World Cup qualification"
2,"Scotland","Austria",2,2,"FIFA World Cup qualification"
2,"Hungary","Poland",3,3,"FIFA World Cup qualification"
2,"Germany","Iceland",3,0,"FIFA World Cup qualification"
2,"Romania","North Macedonia",3,2,"FIFA World Cup qualification"
2,"South Africa","Ghana",1,1,"African Cup of Nations qualification"
2,"Comoros","Togo",0,0,"African Cup of Nations qualification"
2,"Kenya","Egypt",1,1,"African Cup of Nations qualification"
2,"Botswana","Zimbabwe",0,1,"African Cup of Nations qualification"
2,"Zambia","Algeria",3,3,"African Cup of Nations qualification"
2,"Equatorial Guinea","Tanzania",1,0,"African Cup of Nations qualification"
2,"Libya","Tunisia",2,5,"African Cup of Nations qualification"
2,"Tajikistan","Mongolia",3,0,"FIFA World Cup qualification"
2,"Chile","Bolivia",2,1,"Friendly"
2,"Burundi","Central African Republic",2,2,"African Cup of Nations qualification"
2,"Mauritania","Morocco",0,0,"African Cup of Nations qualification"
2,"Eswatini","Guinea-Bissau",1,3,"African Cup of Nations qualification"
2,"Congo","Senegal",0,0,"African Cup of Nations qualification"
2,"Bosnia and Herzegovina","Costa Rica",0,0,"Friendly"
2,"Nepal","Bangladesh",0,0,"Friendly"
2,"Qatar","Azerbaijan",2,1,"Friendly"
2,"Wales","Mexico",1,0,"Friendly"
2,"Aruba","Suriname",0,6,"FIFA World Cup qualification"
2,"British Virgin Islands","Guatemala",0,3,"FIFA World Cup qualification"
2,"Anguilla","Dominican Republic",0,6,"FIFA World Cup qualification"
2,"Republic of Ireland","Luxembourg",0,1,"FIFA World Cup qualification"
2,"Serbia","Portugal",2,2,"FIFA World Cup qualification"
2,"Belarus","Estonia",4,2,"FIFA World Cup qualification"
2,"Czech Republic","Belgium",1,1,"FIFA World Cup qualification"
2,"Norway","Turkey",0,3,"FIFA World Cup qualification"
2,"Russia","Slovenia",2,1,"FIFA World Cup qualification"
2,"Croatia","Cyprus",1,0,"FIFA World Cup qualification"
2,"Lesotho","Sierra Leone",0,0,"African Cup of Nations qualification"
2,"Benin","Nigeria",0,1,"African Cup of Nations qualification"
2,"Greece","Honduras",2,1,"Friendly"
2,"Montserrat","El Salvador",1,1,"FIFA World Cup qualification"
2,"Dominica","Panama",1,2,"FIFA World Cup qualification"
2,"Puerto Rico","Trinidad and Tobago",1,1,"FIFA World Cup qualification"
2,"Georgia","Spain",1,2,"FIFA World Cup qualification"
2,"Kosovo","Sweden",0,3,"FIFA World Cup qualification"
2,"Switzerland","Lithuania",1,0,"FIFA World Cup qualification"
2,"Bulgaria","Italy",0,2,"FIFA World Cup qualification"
2,"Kazakhstan","France",0,2,"FIFA World Cup qualification"
2,"Ukraine","Finland",1,1,"FIFA World Cup qualification"
2,"Denmark","Moldova",8,0,"FIFA World Cup qualification"
2,"Israel","Scotland",1,1,"FIFA World Cup qualification"
2,"Albania","England",0,2,"FIFA World Cup qualification"
2,"Armenia","Iceland",2,0,"FIFA World Cup qualification"
2,"Romania","Germany",0,1,"FIFA World Cup qualification"
2,"Namibia","Guinea",2,1,"African Cup of Nations qualification"
2,"Mali","Chad",3,0,"African Cup of Nations qualification"
2,"Sudan","South Africa",2,0,"African Cup of Nations qualification"
2,"Tunisia","Equatorial Guinea",2,1,"African Cup of Nations qualification"
2,"Tanzania","Libya",1,0,"African Cup of Nations qualification"
2,"Ecuador","Bolivia",2,1,"Friendly"
2,"Kuwait","Lebanon",1,1,"Friendly"
2,"Nepal","Bangladesh",2,1,"Friendly"
2,"Uzbekistan","Iraq",0,1,"Friendly"
2,"Cayman Islands","Canada",0,11,"FIFA World Cup qualification"
2,"Burkina Faso","South Sudan",1,0,"African Cup of Nations qualification"
2,"Malawi","Uganda",1,0,"African Cup of Nations qualification"
2,"Angola","Gabon",2,0,"African Cup of Nations qualification"
2,"Togo","Kenya",1,2,"African Cup of Nations qualification"
2,"Egypt","Comoros",4,0,"African Cup of Nations qualification"
2,"Algeria","Botswana",5,0,"African Cup of Nations qualification"
2,"Zimbabwe","Zambia",0,2,"African Cup of Nations qualification"
2,"United Arab Emirates","India",6,0,"Friendly"
2,"Bahrain","Jordan",1,2,"Friendly"
2,"Costa Rica","Mexico",0,1,"Friendly"
2,"Republic of Ireland","Qatar",1,1,"Friendly"
2,"Bermuda","Aruba",5,0,"FIFA World Cup qualification"
2,"Barbados","Anguilla",1,0,"FIFA World Cup qualification"
2,"Guyana","Bahamas",4,0,"FIFA World Cup qualification"
2,"Azerbaijan","Serbia",1,2,"FIFA World Cup qualification"
2,"Luxembourg","Portugal",1,3,"FIFA World Cup qualification"
2,"Wales","Czech Republic",1,0,"FIFA World Cup qualification"
2,"Belgium","Belarus",8,0,"FIFA World Cup qualification"
2,"Montenegro","Norway",0,1,"FIFA World Cup qualification"
2,"Cyprus","Slovenia",1,0,"FIFA World Cup qualification"
2,"Slovakia","Russia",2,1,"FIFA World Cup qualification"
2,"Saudi Arabia","Palestine",5,0,"FIFA World Cup qualification"
2,"Japan","Mongolia",14,0,"FIFA World Cup qualification"
2,"Central African Republic","Mauritania",0,1,"African Cup of Nations qualification"
2,"Morocco","Burundi",1,0,"African Cup of Nations qualification"
2,"Cameroon","Rwanda",0,0,"African Cup of Nations qualification"
2,"Guinea-Bissau","Congo",3,0,"African Cup of Nations qualification"
2,"Senegal","Eswatini",1,1,"African Cup of Nations qualification"
2,"Madagascar","Niger",0,0,"African Cup of Nations qualification"
2,"Nigeria","Lesotho",3,0,"African Cup of Nations qualification"
2,"Sweden","Estonia",1,0,"Friendly"
2,"Switzerland","Finland",3,2,"Friendly"
2,"Spain","Kosovo",3,1,"FIFA World Cup qualification"
2,"Greece","Georgia",1,1,"FIFA World Cup qualification"
2,"Northern Ireland","Bulgaria",0,0,"FIFA World Cup qualification"
2,"Lithuania","Italy",0,2,"FIFA World Cup qualification"
2,"Bosnia and Herzegovina","France",0,1,"FIFA World Cup qualification"
2,"Ukraine","Kazakhstan",1,1,"FIFA World Cup qualification"
2,"Austria","Denmark",0,4,"FIFA World Cup qualification"
2,"Moldova","Israel",1,4,"FIFA World Cup qualification"
2,"England","Poland",2,1,"FIFA World Cup qualification"
2,"Armenia","Romania",3,2,"FIFA World Cup qualification"
2,"Germany","North Macedonia",1,2,"FIFA World Cup qualification"
2,"Ukraine","Bahrain",1,1,"Friendly"
2,"Iraq","Tajikistan",0,0,"Friendly"
2,"United Arab Emirates","Jordan",5,1,"Friendly"
2,"Indonesia","Afghanistan",2,3,"Friendly"
2,"Oman","Thailand",1,0,"Friendly"
2,"Turkey","Azerbaijan",2,1,"Friendly"
2,"Bahrain","Malaysia",2,0,"Friendly"
2,"Japan","Myanmar",10,0,"FIFA World Cup qualification"
2,"Indonesia","Oman",1,3,"Friendly"
2,"Iraq","Nepal",6,2,"Friendly"
2,"Mexico","Iceland",2,1,"Friendly"
2,"Singapore","Afghanistan",1,1,"Friendly"
2,"Sweden","Finland",2,0,"Friendly"
2,"Thailand","Tajikistan",2,2,"Friendly"
2,"China PR","Guam",7,0,"FIFA World Cup qualification"
2,"Jordan","Vietnam",1,1,"Friendly"
2,"Turkey","Guinea",0,0,"Friendly"
2,"Croatia","Armenia",1,1,"Friendly"
2,"North Macedonia","Slovenia",1,1,"Friendly"
2,"Poland","Russia",1,1,"Friendly"
2,"Slovakia","Bulgaria",1,1,"Friendly"
2,"Lithuania","Estonia",0,1,"Baltic Cup"
2,"Belarus","Azerbaijan",1,2,"Friendly"
2,"Bosnia and Herzegovina","Montenegro",0,0,"Friendly"
2,"England","Austria",1,0,"Friendly"
2,"France","Wales",3,0,"Friendly"
2,"Germany","Denmark",1,1,"Friendly"
2,"Mozambique","Lesotho",5,0,"Friendly"
2,"Netherlands","Scotland",2,2,"Friendly"
2,"Norway","Luxembourg",1,0,"Friendly"
2,"Romania","Georgia",1,2,"Friendly"
2,"Cayman Islands","Aruba",1,3,"FIFA World Cup qualification"
2,"Dominica","Anguilla",3,0,"FIFA World Cup qualification"
2,"Puerto Rico","Bahamas",7,0,"FIFA World Cup qualification"
2,"Algeria","Mauritania",4,1,"Friendly"
2,"Belgium","Greece",1,1,"Friendly"
2,"Turkey","Moldova",2,0,"Friendly"
